order_id,payment_method,order_dt,delivery_time,product_id,amount,product_group_name,product_name,price,address
98929,offline,2023-04-06,47,,,,,,Махачкала
51229,online,2023-03-25,39,11,46,Продукты,Огурец,5,Зеленогорск
51229,online,2023-03-25,39,13,40,Напитки,Злой кола,500,Зеленогорск
12295,online,2022-03-14,33,7,30,Часы,Часы настенные,3000,Новоалтайск
12295,online,2022-03-14,33,8,19,Часы,Часы напольные,500,Новоалтайск
24511,offline,2023-04-05,59,13,13,Напитки,Злой кола,500,Бузулук
22832,online,2022-02-02,60,,,,,,Челябинск
23597,online,2020-01-24,40,13,29,Напитки,Злой кола,500,Гатчина
23597,online,2020-01-24,40,9,40,Продукты,Молоко,50,Гатчина
73112,offline,2020-08-11,59,4,4,Одежда,Рубашка,15000,Анапа
73112,offline,2020-08-11,59,6,2,Часы,Часы с кукушкой,90000,Анапа
73112,offline,2020-08-11,59,12,37,Продукты,Круассан,50,Анапа
75360,offline,2021-08-20,25,10,7,Продукты,Хлеб,20,Хабаровск
75360,offline,2021-08-20,25,1,33,Одежда,Носки,500,Хабаровск
39252,online,2023-04-01,1,13,11,Напитки,Злой кола,500,Хасавюрт
39252,online,2023-04-01,1,15,6,Напитки,Вода,20,Хасавюрт
39252,online,2023-04-01,1,9,31,Продукты,Молоко,50,Хасавюрт
4149,online,2023-01-03,41,6,8,Часы,Часы с кукушкой,90000,Горно-Алтайск
13708,online,2023-02-23,20,8,3,Часы,Часы напольные,500,Тверь
63645,offline,2022-05-21,37,15,45,Напитки,Вода,20,Бугульма
63645,offline,2022-05-21,37,1,10,Одежда,Носки,500,Бугульма
81198,online,2021-10-05,30,15,34,Напитки,Вода,20,Арсеньев
97899,online,2022-05-17,12,6,46,Часы,Часы с кукушкой,90000,Электросталь
97899,online,2022-05-17,12,9,17,Продукты,Молоко,50,Электросталь
97899,online,2022-05-17,12,12,1,Продукты,Круассан,50,Электросталь
85092,online,2023-03-23,37,10,38,Продукты,Хлеб,20,Бугульма
85092,online,2023-03-23,37,2,3,Одежда,Штаны,2100,Бугульма
72941,online,2021-09-05,2,15,34,Напитки,Вода,20,Ессентуки
72941,online,2021-09-05,2,13,28,Напитки,Злой кола,500,Ессентуки
72941,online,2021-09-05,2,7,38,Часы,Часы настенные,3000,Ессентуки
47041,online,2022-05-17,4,15,4,Напитки,Вода,20,Тихвин
47041,online,2022-05-17,4,6,17,Часы,Часы с кукушкой,90000,Тихвин
83095,offline,2020-12-18,54,9,22,Продукты,Молоко,50,Каменск-Шахтинский
83095,offline,2020-12-18,54,12,48,Продукты,Круассан,50,Каменск-Шахтинский
79586,online,2020-12-04,56,11,18,Продукты,Огурец,5,Сертолово
79586,online,2020-12-04,56,15,25,Напитки,Вода,20,Сертолово
91401,online,2022-03-08,23,1,27,Одежда,Носки,500,Пятигорск
91401,online,2022-03-08,23,5,41,Часы,Часы наручные,1000,Пятигорск
91401,online,2022-03-08,23,4,12,Одежда,Рубашка,15000,Пятигорск
91401,online,2022-03-08,23,6,19,Часы,Часы с кукушкой,90000,Пятигорск
22566,online,2020-05-27,41,7,42,Часы,Часы настенные,3000,Владивосток
22566,online,2020-05-27,41,4,42,Одежда,Рубашка,15000,Владивосток
22566,online,2020-05-27,41,9,50,Продукты,Молоко,50,Владивосток
2705,online,2020-04-23,18,10,29,Продукты,Хлеб,20,Арсеньев
2705,online,2020-04-23,18,4,24,Одежда,Рубашка,15000,Арсеньев
58783,offline,2021-12-07,45,11,17,Продукты,Огурец,5,Сосновый Бор
58783,offline,2021-12-07,45,4,34,Одежда,Рубашка,15000,Сосновый Бор
58783,offline,2021-12-07,45,12,20,Продукты,Круассан,50,Сосновый Бор
14626,online,2021-12-12,20,1,34,Одежда,Носки,500,Мелеуз
14626,online,2021-12-12,20,6,9,Часы,Часы с кукушкой,90000,Мелеуз
14626,online,2021-12-12,20,9,3,Продукты,Молоко,50,Мелеуз
14626,online,2021-12-12,20,2,10,Одежда,Штаны,2100,Мелеуз
14626,online,2021-12-12,20,13,46,Напитки,Злой кола,500,Мелеуз
19314,offline,2022-05-30,56,15,46,Напитки,Вода,20,Боровичи
